#Vystupni charakteristika tranzistoru
#napeti Ud (V) proud Id (mA) napeti Ug (V)
11.199999999999976 3.02826906 3.5
11.299999999999976 3.0206939999999998 3.5
11.399999999999975 3.0456942099999997 3.5
11.499999999999975 3.0239850099999996 3.5
11.599999999999975 3.03470201 3.5
11.699999999999974 3.02460193 3.5
11.799999999999974 3.02656736 3.5
11.899999999999974 3.0336998 3.5
11.999999999999973 3.02337955 3.5
12.099999999999973 3.0438618 3.5
12.199999999999973 3.03100277 3.5
12.299999999999972 3.0645963099999998 3.5
12.399999999999972 3.02962215 3.5
12.499999999999972 3.05787898 3.5
12.599999999999971 3.0314316399999996 3.5
12.69999999999997 3.04561853 3.5
12.79999999999997 3.02707879 3.5
12.89999999999997 3.0459763 3.5
12.99999999999997 3.02716364 3.5
13.09999999999997 3.0524780500000004 3.5
13.199999999999969 3.00822256 3.5
13.299999999999969 3.04785229 3.5
13.399999999999968 3.0351767400000003 3.5
13.499999999999968 3.0561199500000003 3.5
13.599999999999968 3.05377382 3.5
13.699999999999967 3.04875818 3.5
13.799999999999967 3.06881615 3.5
13.899999999999967 3.04785229 3.5
13.999999999999966 3.07858827 3.5
14.099999999999966 3.03413554 3.5
14.199999999999966 3.0827232500000004 3.5
14.299999999999965 3.03524095 3.5
14.399999999999965 3.08819756 3.5
14.499999999999964 3.07313918 3.5
14.599999999999964 3.09232337 3.5
14.699999999999964 3.09117897 3.5
14.799999999999963 3.10768677 3.5
14.899999999999963 3.09549971 3.5
14.999999999999963 3.1190482100000003 3.5
15.099999999999962 3.09522909 3.5
15.199999999999962 3.11830057 3.5
15.299999999999962 3.108822 3.5
15.399999999999961 3.10167809 3.5
15.499999999999961 3.1124065599999997 3.5
15.59999999999996 3.10495993 3.5
15.69999999999996 3.1171653399999997 3.5
15.79999999999996 3.1080651799999996 3.5
15.89999999999996 3.14243388 3.5
15.99999999999996 3.10676024 3.5
16.09999999999996 3.13780583 3.5
16.19999999999996 3.11567923 3.5
16.29999999999996 3.1302858099999997 3.5
16.399999999999963 3.1125005900000002 3.5
16.499999999999964 3.1212223399999997 3.5
16.599999999999966 3.11571821 3.5
16.699999999999967 3.12857265 3.5
16.79999999999997 3.09472684 3.5
16.89999999999997 3.1279511400000004 3.5
16.99999999999997 3.0978573099999998 3.5
17.099999999999973 3.13415475 3.5
17.199999999999974 3.12315337 3.5
17.299999999999976 3.13804434 3.5
17.399999999999977 3.1434911299999997 3.5
17.49999999999998 3.13040736 3.5
17.59999999999998 3.15403842 3.5
17.69999999999998 3.11633972 3.5
