lambda_nm,intensity,lambda_ref,intensity_ref,delta_lambda,lambda_nm_corr,delta2,lambda_nm_corr2,intensity_corr,N,S
299.43698,253.666656494,,,,303.3925325,-4.0496100252663805,303.48659002526637,-3.5843143238823814,,
299.44299,257.0,,,,303.39854249999996,-4.049493583568396,303.4924835835684,-0.25097081788237574,,
299.44904,252.0,,,,303.40459250000004,-4.0493763668840685,303.4984163668841,-5.250970817882376,,
299.45505,268.666656494,,,,303.4106025,-4.0492599251860835,303.50430992518613,11.415685676117619,,
299.46106,265.0,,,,303.4166124999999,-4.0491434834881,303.51020348348806,7.749029182117624,,
299.4671,252.666656494,,,,303.4226525,-4.049026460550357,303.51612646055037,-4.584314323882381,,
299.47311,256.666656494,,,,303.4286625,-4.048910018852372,303.5220200188524,-0.5843143238823814,,
299.47916,274.666656494,,,,303.43471249999993,-4.048792802168046,303.52795280216804,17.41568567611762,,
299.48517,264.666656494,,,,303.4407225,-4.048676360470061,303.53384636047,7.415685676117619,,
299.49118,253.0,,,,303.44673249999994,-4.048559918772076,303.53973991877206,-4.250970817882376,,
299.49722,248.0,,,,303.45277250000004,-4.048442895834334,303.54566289583437,-9.250970817882376,,
299.50323,254.0,,,,303.4587825,-4.04832645413635,303.55155645413635,-3.2509708178823757,,
299.50925,253.333312988,,,,303.4648025,-4.048209818691779,303.55745981869177,-3.917657829882387,,
299.51529,257.333312988,,,,303.4708425,-4.048092795754038,303.563382795754,0.08234217011761302,,
299.5213,242.0,,,,303.47685249999995,-4.047976354056053,303.56927635405606,-15.250970817882376,,
299.52734,233.333312988,,,,303.48289249999993,-4.047859331118312,303.5751993311183,-23.917657829882387,,
299.53336,271.333312988,,,,303.48891249999997,-4.047742695673741,303.58110269567374,14.082342170117613,,
299.53937,253.666656494,,,,303.49492250000003,-4.047626253975756,303.58699625397577,-3.5843143238823814,,
299.54541,255.666656494,,,,303.5009625,-4.047509231038015,303.592919231038,-1.5843143238823814,,
299.55142,240.333312988,,,,303.50697249999996,-4.04739278934003,303.59881278934006,-16.917657829882387,,
299.55743,241.333312988,,,,303.5129825,-4.047276347642045,303.60470634764204,-15.917657829882387,,
299.56348,269.0,,,,303.5190325,-4.047159130957717,303.61063913095774,11.749029182117624,,
299.56949,244.333312988,,,,303.5250424999999,-4.047042689259734,303.6165326892597,-12.917657829882387,,
299.5755,259.333312988,,,,303.5310525,-4.046926247561749,303.62242624756175,2.082342170117613,,
299.58154,268.666656494,,,,303.53709249999997,-4.046809224624007,303.628349224624,11.415685676117619,,
299.58755,259.333312988,,,,303.54310250000003,-4.046692782926022,303.63424278292604,2.082342170117613,,
299.59357,256.666656494,,,,303.54912249999995,-4.046576147481452,303.64014614748146,-0.5843143238823814,,
299.59961,250.0,,,,303.55516249999994,-4.046459124543711,303.6460691245437,-7.250970817882376,,
299.60562,244.333312988,,,,303.5611725,-4.046342682845726,303.6519626828457,-12.917657829882387,,
299.61163,270.0,,,,303.56718249999994,-4.046226241147741,303.6578562411477,12.749029182117624,,
299.61768,250.0,,,,303.5732325,-4.046109024463414,303.6637890244634,-7.250970817882376,,
299.62369,271.666656494,,,,303.57924249999996,-4.045992582765429,303.66968258276546,14.415685676117619,,
299.6297,260.333312988,,,,303.5852525,-4.045876141067444,303.67557614106744,3.082342170117613,,
299.63571,278.666656494,,,,303.59126249999997,-4.04575969936946,303.6814696993695,21.41568567611762,,
299.64175,262.333312988,,,,303.59730249999996,-4.045642676431718,303.6873926764317,5.082342170117613,,
299.64777,260.0,,,,303.6033225,-4.045526040987148,303.69329604098715,2.7490291821176243,,
299.65378,262.333312988,,,,303.60933249999994,-4.045409599289163,303.6991895992891,5.082342170117613,,
299.65982,237.0,,,,303.61537250000003,-4.045292576351421,303.70511257635144,-20.250970817882376,,
299.66583,278.333312988,,,,303.6213825,-4.045176134653436,303.7110061346535,21.082342170117613,,
299.67184,250.333312988,,,,303.6273924999999,-4.045059692955452,303.71689969295545,-6.917657829882387,,
299.67786,254.333312988,,,,303.63341249999996,-4.044943057510881,303.7228030575109,-2.917657829882387,,
299.6839,267.0,,,,303.63945249999995,-4.04482603457314,303.7287260345731,9.749029182117624,,
299.68991,254.666656494,,,,303.6454625,-4.044709592875155,303.73461959287516,-2.5843143238823814,,
299.69592,260.333312988,,,,303.65147249999995,-4.04459315117717,303.7405131511772,3.082342170117613,,
299.70197,236.0,,,,303.6575225,-4.0444759344928425,303.74644593449284,-21.250970817882376,,
