tau,tk_1,tk_2,t0_1,t0_2
411.73525,20.497874,20.474698,20.599702,21.112061
413.84072,20.530508,20.511776,20.598017,21.111907
415.94611,20.564674,20.545484,20.598017,21.112061
418.05221,20.59593,20.573982,20.596638,21.110069
420.15837,20.627492,20.612134,20.596638,21.110222
422.263,20.661353,20.647681,20.595565,21.112214
424.36772,20.695215,20.682309,20.594186,21.111754
426.47303,20.729076,20.712494,20.591428,21.11298
428.57878,20.763704,20.740381,20.591428,21.112827
430.6851,20.797107,20.771486,20.588211,21.113899
432.78958,20.831583,20.801365,20.585606,21.113133
434.89479,20.86422,20.83385,20.582695,21.110222
436.9994,20.893946,20.866641,20.580703,21.108383
439.10517,20.927197,20.89836,20.577332,21.107617
441.21185,20.958456,20.941572,20.576413,21.104859
443.31787,20.994312,20.973751,20.575647,21.105625
445.4232,21.02833,21.002713,20.578405,21.107617
447.5287,21.060663,21.03382,20.580856,21.111907
449.63138,21.094681,21.066614,20.585453,21.11344
451.73715,21.128394,21.103545,20.590969,21.116351
453.84235,21.159348,21.138484,20.595412,21.120182
455.94802,21.191682,21.177561,20.601847,21.124013
458.05385,21.224016,21.209437,20.609201,21.129376
460.15892,21.258803,21.24545,20.616403,21.137344
462.26437,21.292824,21.277479,20.622838,21.142554
464.36867,21.324699,21.305677,20.631571,21.149143
466.47436,21.357801,21.339852,20.636627,21.155119
468.57843,21.389524,21.367744,20.641837,21.162015
470.68367,21.423545,21.400081,20.644748,21.167225
472.78937,21.458487,21.438242,20.649957,21.172129
474.89529,21.487606,21.463376,20.65103,21.175806
477.00013,21.519943,21.495101,20.651336,21.180097
479.1046,21.552893,21.527132,20.653328,21.182702
481.20943,21.589675,21.558091,20.653635,21.186073
483.31434,21.621554,21.589663,20.654094,21.188218
485.41967,21.653585,21.619856,20.651949,21.186993
487.52607,21.685924,21.649897,20.651183,21.185767
489.63256,21.721788,21.687907,20.649038,21.184847
491.73609,21.752901,21.729443,20.648119,21.182395
493.84247,21.784015,21.764695,20.647506,21.182089
495.94696,21.819574,21.788146,20.647199,21.182242
498.05102,21.851914,21.82156,20.647353,21.182089
500.15557,21.885481,21.851755,20.64674,21.182855
502.26184,21.916289,21.888235,20.647812,21.183621
504.36709,21.947864,21.916745,20.650877,21.185307
506.47105,21.978979,21.952612,20.653175,21.188678
508.57788,22.011321,21.988787,20.653481,21.189904
510.68281,22.044276,22.026494,20.652409,21.189291
512.78947,22.075699,22.055465,20.648578,21.186533
514.89454,22.111567,22.085663,20.646587,21.184694
516.99907,22.146822,22.1154,20.645974,21.186226
519.10468,22.178706,22.147898,20.647812,21.186533
521.20892,22.20875,22.180855,20.64582,21.185
523.31381,22.241094,22.213506,20.644748,21.182089
525.41703,22.273745,22.248917,20.642296,21.179944
527.52279,22.305783,22.284635,20.639232,21.177492
529.62824,22.337975,22.317287,20.636168,21.175806
531.7348,22.371547,22.348866,20.63295,21.175653
533.84214,22.403279,22.37784,20.629426,21.173355
535.94935,22.436085,22.411566,20.627434,21.169677
538.05421,22.469811,22.440387,20.626668,21.167991
540.15891,22.502157,22.47304,20.625596,21.164773
542.2633,22.534504,22.504621,20.623604,21.160023
544.36803,22.567158,22.534363,20.625902,21.15987
546.47178,22.599352,22.568244,20.62391,21.157571
548.57606,22.634306,22.603198,20.62008,21.153127
550.68066,22.668647,22.636007,20.618088,21.149603
552.78587,22.699769,22.667283,20.616709,21.146079
554.89026,22.730891,22.697332,20.619161,21.144699
556.99532,22.76186,22.738881,20.618394,21.140562
559.10002,22.79467,22.766478,20.621306,21.142094
561.20603,22.827786,22.793922,20.623604,21.14332
563.30977,22.860442,22.822439,20.622838,21.14424
565.41522,22.891413,22.855403,20.622378,21.144853
567.51951,22.92131,22.891281,20.62391,21.144546
569.62727,22.954734,22.925932,20.625596,21.145006
571.73055,22.986166,22.96089,20.626668,21.145312
573.83706,23.019897,22.998916,20.630345,21.146998
575.94306,23.053016,23.031575,20.635095,21.150676
578.04662,23.084754,23.061781,20.638466,21.152974
580.15321,23.119253,23.093521,20.64199,21.156345
582.25809,23.150073,23.124341,20.645514,21.157418
584.36086,23.181046,23.154701,20.649957,21.159717
586.46547,23.213246,23.192575,20.65149,21.159717
588.57032,23.24744,23.228763,20.653022,21.158031
590.67546,23.280254,23.253757,20.653941,21.156805
592.78033,23.313221,23.285192,20.655014,21.154813
594.88617,23.347263,23.320461,20.653788,21.152974
596.99014,23.378391,23.350669,20.653481,21.149909
599.09579,23.408906,23.382412,20.65103,21.148071
601.20201,23.441108,23.413081,20.651643,21.149909
603.30647,23.472238,23.441911,20.652256,21.149756
605.41221,23.505667,23.475034,20.650723,21.14945
607.51641,23.537564,23.507698,20.65103,21.14945
609.62265,23.569614,23.532234,20.652409,21.152668
611.72702,23.599977,23.569806,20.653022,21.154507
613.83352,23.631721,23.609218,20.651643,21.154813
615.93911,23.665919,23.639736,20.65057,21.157265
618.0431,23.698431,23.666881,20.649498,21.162168
620.1467,23.730329,23.703994,20.648425,21.167685
622.25174,23.762227,23.733592,20.65057,21.172742
624.35729,23.792286,23.773007,20.653635,21.176266
626.46228,23.82986,23.807514,20.657618,21.181629
628.56803,23.862986,23.838187,20.661142,21.184081
630.67478,23.892279,23.862419,20.660376,21.183162
632.78094,23.925252,23.89478,20.657618,21.183775
634.88565,23.957766,23.923153,20.656239,21.181629
636.99103,23.991661,23.951527,20.650417,21.177185
639.09666,24.023102,23.983428,20.648578,21.174887
641.20218,24.051629,24.019624,20.646587,21.172282
643.3061,24.08307,24.047846,20.645514,21.169677
645.41034,24.114052,24.078828,20.643982,21.168298
647.51502,24.149482,24.111344,20.643369,21.16937
649.62047,24.180157,24.148462,20.644135,21.170443
651.72556,24.21114,24.181592,20.645361,21.175653
653.83148,24.24473,24.20598,20.645974,21.18071
655.93703,24.27372,24.243253,20.649957,21.184694
658.04008,24.308538,24.275617,20.653481,21.189904
660.14452,24.342129,24.301693,20.657465,21.193429
662.24873,24.374493,24.34096,20.657159,21.19588
664.35423,24.406705,24.368571,20.657005,21.194961
666.45888,24.436923,24.407072,20.658231,21.19588
668.56517,24.468981,24.438671,20.658997,21.197106
670.6706,24.503341,24.466896,20.661142,21.200018
672.77445,24.531566,24.495734,20.661908,21.202623
674.87883,24.561938,24.521505,20.663594,21.203542
676.9849,24.592924,24.558934,20.665892,21.205841
679.0909,24.624524,24.591608,20.666811,21.207986
681.19469,24.658118,24.622596,20.667731,21.20768
683.30025,24.688952,24.65481,20.670182,21.208752
685.40581,24.72178,24.687946,20.670948,21.212277
687.50888,24.754609,24.716019,20.66911,21.215035
689.61302,24.78667,24.747928,20.666965,21.215495
691.71933,24.818272,24.779837,20.664666,21.218253
693.82723,24.850028,24.814201,20.667424,21.219632
695.93213,24.883011,24.852707,20.669876,21.220705
698.03738,24.913233,24.887379,20.670795,21.22377
700.14192,24.946216,24.919289,20.6734,21.226375
702.24789,24.977666,24.946444,20.676311,21.229593
704.35399,25.008963,24.973445,20.679835,21.232504
706.45968,25.037192,25.002288,20.682899,21.235416
708.56503,25.070177,25.02929,20.687036,21.23894
710.67088,25.103469,25.065344,20.692246,21.242311
712.77631,25.136608,25.097563,20.696996,21.245376
714.88271,25.168673,25.126254,20.700213,21.248748
716.98729,25.195062,25.155098,20.703891,21.251812
719.0924,25.228816,25.189772,20.707721,21.252732
721.19711,25.261649,25.22859,20.709866,21.254264
723.30265,25.291874,25.26035,20.710786,21.25549
725.40824,25.322253,25.291957,20.712011,21.254724
727.51413,25.355855,25.320649,20.715689,21.256563
729.61839,25.386695,25.352257,20.716761,21.25595
731.72497,25.420604,25.383405,20.717987,21.256716
733.83151,25.448836,25.413325,20.721052,21.257329
735.93687,25.481211,25.447849,20.722124,21.256716
738.04236,25.51282,25.487744,20.723656,21.259474
740.14891,25.545809,25.523496,20.726568,21.260394
742.25347,25.577418,25.553571,20.724576,21.261466
744.35881,25.611943,25.578122,20.723197,21.261007
746.46331,25.641711,25.605896,20.721052,21.2607
748.56832,25.669638,25.639041,20.719673,21.257789
750.67521,25.703703,25.665588,20.716915,21.256563
752.78074,25.73516,25.698119,20.7186,21.257942
754.88733,25.76585,25.73725,20.717834,21.258402
756.99288,25.799303,25.773465,20.716915,21.258095
759.09759,25.830914,25.807379,20.7186,21.258402
761.20271,25.861758,25.839758,20.717987,21.259934
763.30777,25.891682,25.864925,20.719826,21.260241
765.41252,25.924983,25.896231,20.720285,21.262692
767.51685,25.953219,25.925849,20.722277,21.264225
769.622,25.984678,25.956542,20.723656,21.264531
771.7276,26.016752,25.990611,20.724576,21.264531
773.83416,26.051281,26.01624,20.72289,21.265144
775.93977,26.08182,26.05077,20.721205,21.264072
778.0445,26.111286,26.084379,20.71906,21.263918
780.15074,26.143667,26.115841,20.715229,21.263765
782.25603,26.174054,26.143005,20.71002,21.260853
784.36176,26.204441,26.174313,20.705729,21.258248
786.46602,26.237131,26.198562,20.70098,21.25595
788.57122,26.268439,26.232634,20.702512,21.255337
790.67565,26.300209,26.269468,20.704963,21.256256
792.78139,26.334127,26.308759,20.704197,21.258402
794.88419,26.365743,26.338534,20.708181,21.26116
796.98966,26.396746,26.370151,20.711858,21.26729
799.09552,26.426521,26.395169,20.712624,21.270508
801.20086,26.459213,26.427708,20.714463,21.273266
803.30599,26.488988,26.45334,20.717834,21.274645
805.41088,26.519685,26.485265,20.719979,21.276637
807.51744,26.550229,26.512586,20.722584,21.279549
809.6228,26.582001,26.554949,20.725342,21.280468
811.72831,26.616382,26.583345,20.729938,21.281234
813.83373,26.646313,26.615885,20.731317,21.280009
815.9398,26.674248,26.643361,20.73239,21.279242
818.0448,26.704947,26.675595,20.731777,21.277097
820.1498,26.737488,26.70215,20.733003,21.273879
822.25463,26.769262,26.738222,20.732237,21.273113
824.35904,26.797352,26.77015,20.731164,21.269741
826.46451,26.832196,26.795324,20.730398,21.268056
828.57046,26.862589,26.830016,20.730398,21.266983
830.67657,26.894824,26.861945,20.731164,21.26591
832.78186,26.925371,26.889729,20.725495,21.258708
834.88734,26.956686,26.921812,20.716302,21.249973
836.9927,26.988155,26.953435,20.709253,21.239706
839.09834,27.015633,26.985211,20.701439,21.232198
841.20428,27.048484,27.018523,20.696689,21.227294
843.30935,27.08026,27.054292,20.696383,21.223463
845.41338,27.111116,27.079929,20.697762,21.225302
847.51875,27.14059,27.110939,20.701133,21.230665
849.62476,27.169758,27.152695,20.703891,21.238327
851.73008,27.201536,27.177105,20.706649,21.24461
853.83655,27.235003,27.20612,20.708487,21.252425
855.94139,27.266781,27.226692,20.712778,21.258861
858.04639,27.299788,27.262002,20.723043,21.26637
860.15176,27.328803,27.292707,20.734535,21.27725
862.25831,27.35874,27.32464,20.745874,21.287364
864.36419,27.387296,27.357495,20.760123,21.302688
866.47101,27.41969,27.389429,20.773147,21.315254
868.57602,27.451931,27.430268,20.788623,21.325368
870.68135,27.482636,27.456829,20.798583,21.338241
872.78581,27.510579,27.479551,20.812526,21.352952
874.89117,27.544816,27.509644,20.838575,21.365518
876.9965,27.574755,27.541579,20.856196,21.3741
879.10106,27.606537,27.574897,20.867228,21.37885
881.20609,27.63663,27.603915,20.879333,21.3859
883.31213,27.66918,27.633856,20.88868,21.393715
885.41761,27.701269,27.658576,20.895882,21.401531
887.52196,27.729981,27.692201,20.896035,21.400918
889.62743,27.756851,27.727363,20.894656,21.396014
891.73049,27.789248,27.761296,20.890826,21.388198
893.83524,27.818422,27.786478,20.882551,21.378084
895.93971,27.850513,27.819491,20.875656,21.366284
898.04566,27.882757,27.855728,20.864317,21.354638
900.15143,27.913467,27.886592,20.853744,21.342225
902.25768,27.943409,27.918531,20.843938,21.330578
904.36197,27.974273,27.944021,20.833059,21.317859
906.46582,28.004216,27.973657,20.821413,21.304987
908.57103,28.036462,28.001912,20.810381,21.2938
910.67625,28.068555,28.036001,20.803333,21.284146
912.78089,28.09727,28.069324,20.798583,21.282767
914.88713,28.128443,28.096504,20.794905,21.286751
916.99303,28.159615,28.132437,20.79797,21.2938
919.09832,28.190788,28.160232,20.80272,21.29901
921.20381,28.2215,28.191406,20.804558,21.304834
923.30919,28.252827,28.217666,20.808083,21.310504
925.41597,28.283387,28.248072,20.812526,21.31648
927.52023,28.312411,28.285083,20.818042,21.320005
929.62554,28.344507,28.313186,20.819575,21.324142
931.73012,28.374299,28.342518,20.822792,21.323989
