FNM450Delta_Point_120_x/Delta_Point_120_y,
FNM150Delta_Point_121_x/Delta_Point_121_y,
Sum300_Delta_Point_122_x/Delta_Point_122_y,
RMSDelta_Point_123_x/Delta_Point_123_y,
ratio10/5Delta_Point_123_x/Delta_Point_123_y,
FNM300RMSDelta_Point_0_x/Delta_Point_0_y/Sum150_Delta_Point_0_x/Delta_Point_0_y,(1.034+/-0.017)e+05
FNM300Delta_Point_0_x/Delta_Point_0_y,678+/-32
Sum300_Delta_Point_1_x/Delta_Point_1_y,
NewColumnDelta_Point_1_x/Delta_Point_1_y,2.0+/-1.8
FNM450Delta_Point_2_x/Delta_Point_2_y,(4+/-4)e+02
FNM150Delta_Point_3_x/Delta_Point_3_y,(1.2+/-1.2)e+02
Sum300_Delta_Point_4_x/Delta_Point_4_y,
NewColumnDelta_Point_4_x/Delta_Point_4_y,2.0+/-2.3
FNM450Delta_Point_5_x/Delta_Point_5_y,(4.9+/-3.2)e+02
Sum450_Delta_Point_6_x/Delta_Point_6_y,
Sum150_Delta_Point_7_x/Delta_Point_7_y,
ratio15/10Delta_Point_7_x/Delta_Point_7_y,
FNM450Delta_Point_8_x/Delta_Point_8_y,(8+/-4)e+02
FNM150Delta_Point_9_x/Delta_Point_9_y,(1.7+/-1.0)e+02
Sum150_Delta_Point_10_x/Delta_Point_10_y,
ratio15/10Delta_Point_10_x/Delta_Point_10_y,2.3+/-2.3
FNM450Delta_Point_11_x/Delta_Point_11_y,(1.0+/-0.4)e+03
Sum450_Delta_Point_12_x/Delta_Point_12_y,
RMSDelta_Point_13_x/Delta_Point_13_y,0.4813025187346877
ratio10/5Delta_Point_13_x/Delta_Point_13_y,2.0+/-1.4
FNM150Delta_Point_14_x/Delta_Point_14_y,(2.1+/-1.5)e+02
Sum300_Delta_Point_15_x/Delta_Point_15_y,
RMSDelta_Point_16_x/Delta_Point_16_y,
ratio10/5Delta_Point_16_x/Delta_Point_16_y,2.0+/-1.7
FNM150Delta_Point_17_x/Delta_Point_17_y,(3+/-5)e+02
Sum300_Delta_Point_18_x/Delta_Point_18_y,
RMSDelta_Point_19_x/Delta_Point_19_y,0.32352421376762364
ratio10/5Delta_Point_19_x/Delta_Point_19_y,2.0+/-2.5
FNM150Delta_Point_20_x/Delta_Point_20_y,(0.9+/-1.1)e+02
Sum300_Delta_Point_21_x/Delta_Point_21_y,
RMSDelta_Point_22_x/Delta_Point_22_y,0.4832906737766985
ratio10/5Delta_Point_22_x/Delta_Point_22_y,2+/-5
FNM300Delta_Point_23_x/Delta_Point_23_y,(4.2+/-3.1)e+02
Sum300_Delta_Point_24_x/Delta_Point_24_y,
NewColumnDelta_Point_24_x/Delta_Point_24_y,2.0+/-2.7
FNM450Delta_Point_25_x/Delta_Point_25_y,(5+/-5)e+02
FNM150Delta_Point_26_x/Delta_Point_26_y,(1.5+/-1.0)e+02
Sum300_Delta_Point_27_x/Delta_Point_27_y,
RMSDelta_Point_28_x/Delta_Point_28_y,
ratio10/5Delta_Point_28_x/Delta_Point_28_y,
FNM300Delta_Point_29_x/Delta_Point_29_y,(4.1+/-2.7)e+02
Sum300_Delta_Point_30_x/Delta_Point_30_y,
RMSDelta_Point_31_x/Delta_Point_31_y,0.09170058455582505
ratio10/5Delta_Point_31_x/Delta_Point_31_y,1.9+/-2.0
FNM300Delta_Point_32_x/Delta_Point_32_y,586+/-26
Sum450_Delta_Point_33_x/Delta_Point_33_y,
RMSDelta_Point_34_x/Delta_Point_34_y,1.911283481255052
ratio10/5Delta_Point_34_x/Delta_Point_34_y,2.0+/-0.8
FNM150Delta_Point_35_x/Delta_Point_35_y,(3.8+/-3.2)e+02
Sum150_Delta_Point_36_x/Delta_Point_36_y,
ratio15/10Delta_Point_36_x/Delta_Point_36_y,2.8+/-1.2
FNM450Delta_Point_37_x/Delta_Point_37_y,(5.7+/-2.6)e+02
FNM150Delta_Point_38_x/Delta_Point_38_y,(2.6+/-2.7)e+02
Sum300_Delta_Point_39_x/Delta_Point_39_y,
RMSDelta_Point_40_x/Delta_Point_40_y,
ratio10/5Delta_Point_40_x/Delta_Point_40_y,1.9+/-2.5
FNM300Delta_Point_41_x/Delta_Point_41_y,(1.0+/-1.0)e+03
Sum450_Delta_Point_42_x/Delta_Point_42_y,
Sum150_Delta_Point_43_x/Delta_Point_43_y,
ratio15/10Delta_Point_43_x/Delta_Point_43_y,3+/-4
FNM450Delta_Point_44_x/Delta_Point_44_y,(1.3+/-0.7)e+03
Sum450_Delta_Point_45_x/Delta_Point_45_y,
Sum150_Delta_Point_46_x/Delta_Point_46_y,
ratio15/10Delta_Point_46_x/Delta_Point_46_y,3.0+/-3.4
FNM300Delta_Point_47_x/Delta_Point_47_y,(3+/-7)e+02
Sum450_Delta_Point_48_x/Delta_Point_48_y,
Sum150_Delta_Point_49_x/Delta_Point_49_y,
ratio15/10Delta_Point_49_x/Delta_Point_49_y,3+/-4
FNM450Delta_Point_50_x/Delta_Point_50_y,(1.7+/-0.6)e+03
FNM150Delta_Point_51_x/Delta_Point_51_y,(4+/-4)e+02
Sum150_Delta_Point_52_x/Delta_Point_52_y,
ratio15/10Delta_Point_52_x/Delta_Point_52_y,3+/-5
FNM300Delta_Point_53_x/Delta_Point_53_y,(4+/-6)e+02
Sum450_Delta_Point_54_x/Delta_Point_54_y,
Sum150_Delta_Point_55_x/Delta_Point_55_y,
ratio15/10Delta_Point_55_x/Delta_Point_55_y,3+/-4
FNM450Delta_Point_56_x/Delta_Point_56_y,(2.5+/-1.6)e+03
FNM150Delta_Point_57_x/Delta_Point_57_y,(2+/-4)e+02
Sum300_Delta_Point_58_x/Delta_Point_58_y,
RMSDelta_Point_59_x/Delta_Point_59_y,0.43065222899080335
