un,i-a [ua],i9,i11,intensity,v,sigma,ln_sigma_div_v,if,m,phi,s
784.0,88.26041542391687,9.759393827190204,0.7502291213024945,Φ2,60.30769230769231,0.2753800572577618,-5.389062771932072,35.439726189232346,2.490437283647328,6.8e-05,1297947.2856458363
748.0,57.718120237333146,6.710585114224287,0.5611245511800825,Φ2,57.53846153846154,0.2867612451978654,-5.301558928220122,23.401297164803356,2.466449608791084,6.8e-05,848795.8858431345
692.0,29.282727373820656,3.6547051674053077,0.35062610597587396,Φ2,53.23076923076923,0.30673444786227766,-5.156409494547999,11.91488335554099,2.457659592630656,6.8e-05,430628.3437326567
645.0,17.41832975847409,2.182921878744221,0.2398213172047794,Φ2,49.61538461538461,0.32805993108828485,-5.018859929890322,6.654033826998429,2.617709830058278,6.8e-05,256151.90821285427
593.0,7.853174867024645,1.0454486093019586,0.1294811567126848,Φ2,45.61538461538461,0.3469443332443555,-4.87883597636753,3.013303602701132,2.606167815279231,6.8e-05,115487.8656915389
556.0,3.944741480084666,0.5812870971231504,0.07974243951441444,Φ2,42.76923076923077,0.3621429841700741,-4.771535098035783,1.6051314605894977,2.457581560725205,6.8e-05,58010.90411889215
500.0,1.9935004934485292,0.22807906163608554,0.0405346483921308,Φ2,38.46153846153846,0.4,-4.56594947283481,0.5701976540902138,3.4961569539062456,6.8e-05,29316.183727184252
825.0,97.65381104138666,10.572988504920724,0.7468414283085408,Φ3,63.46153846153846,0.26413527189768715,-5.481727942385871,40.028688440429775,2.439595571229218,5.3e-05,1842524.736629937
802.0,79.00485958862205,8.7105611766781,0.6391278295515903,Φ3,61.69230769230769,0.26876525627335834,-5.436076184027682,32.40955061475163,2.437703025498353,5.3e-05,1490657.7280872085
754.0,48.646906455781725,5.535943138576789,0.4610699479388641,Φ3,58.0,0.2855876112297998,-5.313649438050901,19.38439526398874,2.5095911321079623,5.3e-05,917866.1595430514
706.0,27.15857046022494,3.307602242648392,0.31085915836922945,Φ3,54.30769230769231,0.30284645669276195,-5.189195225530642,10.921713526943979,2.4866583794955317,5.3e-05,512425.8577400932
642.0,11.635624969434165,1.5438317929471461,0.16978064336284712,Φ3,49.38461538461539,0.32698354544794866,-5.017484375310432,4.721435724945074,2.464425155246506,5.3e-05,219540.09376290877
592.0,5.956412417400182,0.8256326279726431,0.09948293241981912,Φ3,45.53846153846154,0.34099716973523675,-4.8944383790522,2.421230148665738,2.460076924402486,5.3e-05,112385.13995094683
538.0,2.9704630858848198,0.35360461072839605,0.04998302997019917,Φ3,41.38461538461539,0.3627381250550058,-4.73698332634639,0.9748206386488193,3.0471893680894193,5.3e-05,56046.473318581506
480.0,0.9933552920509126,0.12050508773209834,0.02071463939244132,Φ3,36.92307692307692,0.3779644730092272,-4.581791820968056,0.3188264938571527,3.115661060764844,5.3e-05,18742.552680205896
424.0,0.4785277410841946,0.03910467456202256,0.009786378194276515,Φ3,32.61538461538461,0.4472135954999579,-4.289503053987471,0.08744071055868927,5.472596666091956,5.3e-05,9028.825303475369
