f[Hz] 	 GabsStart 	 GphiStart 	 GabsFit 	 GphiFit
672.0 	 0.008806948358463662 	 63.873950134778134 	 0.009706416713423077 	 69.15743834392525
673.0 	 0.008917514402792981 	 63.5206192917797 	 0.009843084450554008 	 68.84998784356517
674.0 	 0.009030349523229422 	 63.158914598663394 	 0.009983125466229597 	 68.53428517112948
675.0 	 0.009145509005671328 	 62.78856345165815 	 0.010126652439589148 	 68.2100124539808
676.0 	 0.009263048978478761 	 62.409282894874075 	 0.01027378221102021 	 67.87683646870084
677.0 	 0.009383026334571606 	 62.02077923886837 	 0.010424635894612722 	 67.53440779447497
678.0 	 0.009505498638824769 	 61.622747673058896 	 0.010579338983742742 	 67.18235991868235
679.0 	 0.009630524018956792 	 61.21487187337752 	 0.010738021447538234 	 66.82030829259907
680.0 	 0.009758161037918987 	 60.79682360685352 	 0.010900817815575682 	 66.4478493351936
681.0 	 0.00988846854558765 	 60.368262335156196 	 0.011067867247690105 	 66.06455938311191
682.0 	 0.010021505507339934 	 59.92883481951778 	 0.01123931358524075 	 65.66999358512696
683.0 	 0.01015733080685638 	 59.478174729899074 	 0.011415305379552964 	 65.26368473957176
684.0 	 0.01029600302023807 	 59.0159022617655 	 0.011595995892539042 	 64.84514207360894
685.0 	 0.010437580158255052 	 58.54162376441336 	 0.011781543063675536 	 64.41384996362709
686.0 	 0.010582119373256225 	 58.05493138543215 	 0.011972109436566847 	 63.969266596618354
687.0 	 0.010729676626970221 	 57.55540273661798 	 0.012167862037238608 	 63.51082257310939
688.0 	 0.010880306315115449 	 57.04260058747007 	 0.01236897219506278 	 63.0379194531186
689.0 	 0.01103406084441704 	 56.51607259332181 	 0.012575615295798679 	 62.549928247735046
690.0 	 0.011190990157306135 	 55.975351066177865 	 0.012787970454623356 	 62.04618786029711
691.0 	 0.011351141199256676 	 55.419952797468405 	 0.01300622009519654 	 61.526003482846626
692.0 	 0.011514557323407193 	 54.849378943186686 	 0.013230549418742089 	 60.988644955596925
693.0 	 0.011681277626827863 	 54.26311498326628 	 0.01346114574480476 	 60.433345099658574
694.0 	 0.011851336212543032 	 53.660630768568254 	 0.01369819770274432 	 59.85929803627547
695.0 	 0.012024761371219283 	 53.04138067050601 	 0.013941894250137468 	 59.26565750943971
696.0 	 0.012201574676302798 	 52.40480385012014 	 0.014192423491067294 	 58.65153523305894
697.0 	 0.012381789986358156 	 51.75032466533795 	 0.014449971263783555 	 58.01599928896871
698.0 	 0.012565412348456644 	 51.07735323718929 	 0.014714719463431414 	 57.358072608122946
699.0 	 0.012752436796718676 	 50.38528619789332 	 0.01498684406149881 	 56.676731574396385
700.0 	 0.012942847040571831 	 49.67350764595683 	 0.015266512779376785 	 55.97090479873669
701.0 	 0.013136614037994303 	 48.94139033568686 	 0.015553882369055966 	 55.2394721210432
702.0 	 0.013333694450022396 	 48.18829713078588 	 0.01584909544962372 	 54.481263908282486
703.0 	 0.013534028974175225 	 47.413582753887184 	 0.0161522768440762 	 53.69506073009611
704.0 	 0.013737540556252714 	 46.61659586593442 	 0.01646352935727785 	 52.87959350763981
705.0 	 0.013944132482270229 	 45.79668151109502 	 0.01678292893305095 	 52.033544247669916
706.0 	 0.01415368635517807 	 44.953183964307286 	 0.017110519126827997 	 51.15554749198326
707.0 	 0.014366059964555103 	 44.08545001943207 	 0.01744630483066353 	 50.244192632123514
708.0 	 0.01458108506173656 	 43.19283275613832 	 0.01779024519045188 	 49.29802726057349
709.0 	 0.014798565057904643 	 42.274695822874584 	 0.018142245661896116 	 48.31556175204343
710.0 	 0.015018272668589202 	 41.33041827132664 	 0.018502149163286585 	 47.29527529128179
711.0 	 0.015239947534822365 	 40.35939997436686 	 0.0188697263008541 	 46.23562358610522
712.0 	 0.015463293858864897 	 39.361067654353405 	 0.01924466466795504 	 45.13504852466301
713.0 	 0.015687978100919927 	 38.33488154143658 	 0.019626557254376172 	 43.991990052447065
714.0 	 0.015913626792463314 	 37.280342671945725 	 0.02001489004846993 	 42.804900554743426
715.0 	 0.016139824531560053 	 36.197000824666375 	 0.020409028974454027 	 41.57226203095892
